Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1990-09-18T21:37:00.000Z",149,23,12,230,0,0
"1990-09-18T21:54:00.000Z",56,117,232,11,0,0
"1990-09-18T22:05:00.000Z",35,139,165,77,0,0
"1990-09-18T22:12:00.000Z",36,138,198,44,0,0
"1990-09-18T22:19:00.000Z",113,61,221,22,0,0
"1990-09-18T22:27:00.000Z",27,147,126,117,0,0
"1990-09-18T22:33:00.000Z",164,9,25,219,0,0
"1990-09-18T22:44:00.000Z",43,131,90,153,0,0
"1990-09-19T10:24:00.000Z",54,112,224,3,0,0
"1990-09-19T11:10:00.000Z",126,45,247,0,0,0
"1990-09-19T12:16:00.000Z",165,8,248,2,0,0
"1990-09-19T13:39:00.000Z",156,12,0,242,0,0
"1990-09-19T13:51:00.000Z",33,135,223,20,0,0
"1990-09-24T16:19:00.000Z",13,149,225,2,0,0
"1990-09-24T17:34:00.000Z",12,159,237,1,0,0
"1990-09-24T18:30:00.000Z",8,159,235,0,0,0
"1990-09-24T19:40:00.000Z",162,9,238,0,0,0
"1990-09-24T19:44:00.000Z",164,7,242,0,0,0
"1990-09-24T19:50:00.000Z",138,33,240,0,0,0
"1990-09-24T19:53:00.000Z",134,35,242,0,0,0
"1990-09-24T19:57:00.000Z",130,41,241,1,0,0
"1990-09-24T20:00:00.000Z",127,44,243,0,0,0
"1990-09-24T20:06:00.000Z",170,0,240,4,0,0
"1990-09-24T20:09:00.000Z",165,5,242,0,0,0
"1990-09-24T20:13:00.000Z",83,88,233,11,0,0
"1990-09-24T20:17:00.000Z",133,37,243,0,0,0
"1990-09-24T20:21:00.000Z",135,36,236,8,0,0
"1990-09-24T20:24:00.000Z",165,6,243,1,0,0
"1990-09-24T20:29:00.000Z",130,41,239,5,0,0
"1990-09-24T20:33:00.000Z",57,114,226,18,0,0
"1990-09-24T20:37:00.000Z",92,79,239,5,0,0
"1990-09-24T20:42:00.000Z",58,113,237,6,0,0
"1990-09-25T10:24:00.000Z",48,118,218,7,0,0
"1990-09-25T12:56:00.000Z",1,173,213,36,0,0
"1990-09-25T13:15:00.000Z",0,175,244,5,0,0
"1990-09-25T13:34:00.000Z",29,146,193,56,0,0
"1990-09-25T13:53:00.000Z",0,174,166,84,0,0
"1990-09-25T14:39:00.000Z",0,0,0,0,0,0
"1990-09-25T14:49:00.000Z",120,52,30,217,0,0
"1990-09-25T15:23:00.000Z",20,155,1,244,0,0
"1990-09-25T15:46:00.000Z",149,26,249,0,0,0
"1990-09-25T16:15:00.000Z",171,1,236,0,0,0
"1990-09-25T17:00:00.000Z",118,53,224,0,0,0
"1990-09-25T17:54:00.000Z",139,36,243,2,0,0
"1990-09-26T10:26:00.000Z",41,122,234,4,0,0
"1990-09-26T13:19:00.000Z",169,1,25,224,0,0
"1990-09-26T15:15:00.000Z",141,31,250,1,0,0
"1990-09-26T19:21:00.000Z",116,51,234,4,0,0
"1990-09-27T10:23:00.000Z",46,111,223,4,0,0
"1990-09-27T12:58:00.000Z",169,1,247,0,0,0
"1990-09-27T16:58:00.000Z",0,0,0,0,0,0
"1990-09-27T17:22:00.000Z",155,10,232,8,0,0
"1990-09-28T10:29:00.000Z",43,78,196,5,0,0
"1990-09-30T17:31:00.000Z",136,37,246,4,0,0
"1990-10-01T18:30:00.000Z",164,0,216,29,0,0
"1990-10-01T18:40:00.000Z",154,10,244,1,0,0
"1990-10-01T18:48:00.000Z",166,0,246,0,0,0
"1990-10-01T18:55:00.000Z",165,0,244,0,0,0
"1990-10-02T13:04:00.000Z",16,152,229,13,0,0
"1990-10-02T15:28:00.000Z",104,56,39,210,0,0
"1990-10-02T16:15:00.000Z",6,164,188,65,0,0
"1990-10-02T17:50:00.000Z",40,130,13,238,0,0
"1990-10-02T18:44:00.000Z",118,49,13,236,0,0
"1990-10-03T11:16:00.000Z",73,97,26,222,0,0
"1990-10-03T12:01:00.000Z",113,58,52,199,0,0
"1990-10-03T12:22:00.000Z",137,35,39,213,0,0
"1990-10-03T12:32:00.000Z",45,127,186,65,0,0
"1990-10-03T12:52:00.000Z",153,17,253,0,0,0
"1990-10-03T17:09:00.000Z",130,39,106,150,0,0
"1990-10-03T17:20:00.000Z",163,0,252,3,0,0
