Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1991-02-28T04:00:00.000Z",4,38,51,3,0,0
"1991-02-28T04:56:00.000Z",21,19,51,3,0,0
"1991-03-06T10:37:00.000Z",40,4,31,24,0,0
"1991-03-06T02:52:00.000Z",42,2,21,35,0,0
"1991-03-06T04:10:00.000Z",43,1,37,18,0,0
"1991-03-07T12:30:00.000Z",43,0,56,0,0,0
"1991-03-07T04:29:00.000Z",36,7,33,23,0,0
"1991-03-14T02:09:00.000Z",33,9,25,29,0,0
"1991-03-14T02:35:00.000Z",43,0,54,0,0,0
"1991-03-14T04:08:00.000Z",0,43,0,55,0,0
"1991-03-14T04:52:00.000Z",43,0,55,0,0,0
"1991-03-14T05:52:00.000Z",42,1,55,0,0,0
"1991-03-19T02:15:00.000Z",43,1,55,0,0,0
"1991-03-19T04:44:00.000Z",17,27,43,13,0,0
"1991-03-19T06:15:00.000Z",35,9,5,51,0,0
"1991-03-19T07:01:00.000Z",1,43,51,5,0,0
"1991-03-20T09:19:00.000Z",35,9,2,54,0,0
"1991-03-20T11:41:00.000Z",29,15,14,42,0,0
"1991-03-20T02:17:00.000Z",4,40,56,0,0,0
"1991-03-20T05:02:00.000Z",5,39,56,0,0,0
"1991-03-20T06:34:00.000Z",19,25,25,31,0,0
"1991-03-20T07:08:00.000Z",36,8,56,0,0,0
"1991-03-21T02:01:00.000Z",44,0,44,12,0,0
"1991-04-18T12:09:00.000Z",43,0,55,0,0,0
"1991-04-18T12:48:00.000Z",14,29,19,36,0,0
"1991-04-18T02:39:00.000Z",27,16,30,25,0,0
"1991-04-18T03:08:00.000Z",37,6,53,2,0,0
"1991-04-24T12:32:00.000Z",34,9,26,29,0,0
"1991-04-24T03:53:00.000Z",18,24,42,13,0,0
"1991-04-25T01:58:00.000Z",0,40,0,55,0,0
"1991-04-25T02:52:00.000Z",1,39,21,34,0,0
"1991-04-25T03:35:00.000Z",3,37,22,33,0,0
"1991-04-25T04:02:00.000Z",5,35,25,29,0,0
"1991-04-25T04:39:00.000Z",19,21,38,17,0,0
"1991-05-07T02:49:00.000Z",11,32,50,5,0,0
"1991-05-08T05:59:00.000Z",13,30,50,5,0,0
"1991-05-09T02:02:00.000Z",0,41,5,51,0,0
"1991-05-14T02:29:00.000Z",42,0,55,0,0,0
"1991-05-14T02:29:00.000Z",42,0,55,0,0,0
"1991-05-14T02:29:00.000Z",42,0,55,0,0,0
"1991-05-14T02:29:00.000Z",42,0,55,0,0,0
"1991-05-14T04:41:00.000Z",36,6,2,52,0,0
"1991-05-14T05:14:00.000Z",33,9,54,0,0,0
"1991-05-15T03:04:00.000Z",34,8,36,20,0,0
"1991-05-16T06:00:00.000Z",0,40,50,4,0,0
"1991-05-17T11:56:00.000Z",2,34,42,9,0,0
"1991-05-21T03:13:00.000Z",18,23,54,1,0,0
"1991-05-21T04:25:00.000Z",28,13,21,33,0,0
"1991-05-21T06:17:00.000Z",4,37,31,23,0,0
"1991-05-22T10:03:00.000Z",42,0,0,56,0,0
"1991-05-22T12:31:00.000Z",12,30,56,0,0,0
"1991-05-22T12:56:00.000Z",0,42,54,2,0,0
"1991-05-22T01:10:00.000Z",5,37,55,1,0,0
"1991-05-22T02:17:00.000Z",8,34,49,7,0,0
"1991-05-22T03:11:00.000Z",4,38,56,0,0,0
"1991-05-22T05:49:00.000Z",0,42,39,16,0,0
"1991-05-22T08:47:00.000Z",8,34,49,7,0,0
"1991-05-22T09:10:00.000Z",0,42,55,1,0,0
"1991-05-23T01:31:00.000Z",23,19,56,0,0,0
"1991-05-23T01:53:00.000Z",5,37,49,7,0,0
"1991-05-23T02:07:00.000Z",3,39,54,2,0,0
"1991-05-23T02:21:00.000Z",2,40,55,0,0,0
"1991-05-23T02:37:00.000Z",1,41,55,0,0,0
"1991-05-23T04:05:00.000Z",0,42,53,3,0,0
"1991-05-23T04:27:00.000Z",0,42,53,3,0,0
"1991-05-23T04:42:00.000Z",0,42,54,2,0,0
"1991-05-23T04:59:00.000Z",5,37,51,5,0,0
"1991-05-24T11:59:00.000Z",5,36,31,23,0,0
"1991-06-05T01:00:00.000Z",41,2,51,4,0,0
"1991-06-05T05:08:00.000Z",12,30,52,2,0,0
"1991-06-05T05:30:00.000Z",33,9,38,15,0,0
"1991-06-12T11:52:00.000Z",29,14,31,25,0,0
"1991-06-12T02:21:00.000Z",5,38,39,17,0,0
"1991-06-12T06:02:00.000Z",15,27,14,42,0,0
"1991-06-13T11:22:00.000Z",42,0,30,26,0,0
"1991-06-13T12:33:00.000Z",30,12,32,24,0,0
"1991-06-18T04:00:00.000Z",37,6,52,3,0,0
"1991-06-18T07:20:00.000Z",18,25,23,32,0,0
"1991-06-19T10:17:00.000Z",20,23,33,21,0,0
"1991-06-19T11:08:00.000Z",24,19,39,16,0,0
"1991-06-19T06:56:00.000Z",37,6,44,11,0,0
"1991-06-19T07:17:00.000Z",30,13,42,13,0,0
"1991-06-19T07:32:00.000Z",39,4,52,3,0,0
"1991-06-20T07:22:00.000Z",35,7,20,34,0,0
"1991-06-20T08:30:00.000Z",38,4,2,52,0,0
"1991-06-25T11:41:00.000Z",32,9,11,45,0,0
"1991-06-25T02:30:00.000Z",26,16,3,53,0,0
"1991-06-25T02:56:00.000Z",5,37,25,31,0,0
